Dataset,Packet,Method,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
office_spiral_events,6,ELiSeD,6879,86,46,0.259325842696629,0.664746543778802,0.373100549628193,0.229332273449921,3.22222222222222,0.0121317157712305,0.335253456221198,0.1111405
office_spiral_events,6,LE-calib,6879,86,33,0.353707865168539,0.429585152838428,0.387971407443924,0.240672782874618,1.28571428571429,0.111817026683609,0.570414847161572,1.3740867
office_spiral_events,7,LLGD,12386,87,65,0.477266684392449,0.36226034308779,0.411886186324002,0.259355584453114,1.11111111111111,0.304735376044568,0.63773965691221,0.9906164
office_spiral_events,7,ST,12386,87,19,0.0265886732252061,0.170357751277683,0.0459981600735971,0.0235404896421846,1,0,0.829642248722317,0.1018143
office_spiral_events,7,ELiSeD,12386,87,33,0.115394841797394,0.577127659574468,0.192333259472635,0.106398627114489,4,0.00691244239631339,0.422872340425532,0.1991501
office_spiral_events,7,LE-calib,12386,87,62,0.395639457591066,0.433945756780402,0.413908205841446,0.260961066292529,1.28571428571429,0.139112903225806,0.566054243219598,2.4718985
office_spiral_events,8,LLGD,22777,80,70,0.891312523505077,0.251538951390363,0.392351626520983,0.244053135619401,1,0.521518987341772,0.748461048609637,2.2406828
office_spiral_events,8,ST,22777,80,23,0.0221887927792403,0.250530785562633,0.0407669718431508,0.0208076177041086,1,0.0677966101694916,0.749469214437367,0.1878331
office_spiral_events,8,ELiSeD,22777,80,27,0.0588567130500188,0.406493506493507,0.102825229960578,0.0541991341991342,2,0.00319488817891378,0.593506493506494,0.3544146
office_spiral_events,8,LE-calib,22777,80,109,0.419518616021061,0.37909940526763,0.398286173346425,0.248662505572893,1.45,0.0699238009861048,0.62090059473237,4.5075197
office_spiral_events,9,LLGD,10884,92,52,0.42791519434629,0.253931641853638,0.318726148177392,0.189574201628053,1.2,0.403798513625103,0.746068358146362,1.0107169
office_spiral_events,9,ST,10884,92,6,0.0247349823321555,0.197183098591549,0.043956043956044,0.0224719101123595,1,0,0.802816901408451,0.1087728
office_spiral_events,9,ELiSeD,10884,92,21,0.0498233215547703,0.315436241610738,0.0860543179737565,0.0449617346938775,1,0,0.684563758389262,0.1477251
office_spiral_events,9,LE-calib,10884,92,53,0.276325088339223,0.309213127718466,0.291845493562232,0.170854271356784,1.14285714285714,0.166240409207161,0.690786872281534,2.1538817
office_spiral_events,10,LLGD,2616,66,5,0.259259259259259,0.898648648648649,0.402420574886536,0.251893939393939,1,0.00375939849624063,0.101351351351351,0.1595634
office_spiral_events,10,ST,2616,66,3,0.260233918128655,0.996268656716418,0.412673879443586,0.259980525803311,1,0,0.00373134328358209,0.0157262
office_spiral_events,10,ELiSeD,2616,66,3,0.00194931773879142,0.0540540540540541,0.00376293508936971,0.00188501413760603,NaN,0,0.945945945945946,0.0198769
